sku,currency,price_level,min_quantity,unit_price,id
FB : FB-GF,USA,Net Price,0,1,291
FB : FB-GF,USA,Net Price,1,1,292
FB : FB-GF,USA,Online Price,0,1.25,293
FB : FB-GF,USA,Online Price,1,1.25,294
FB : FB-TG,USA,EQP,0,1,295
FB : FB-TG,USA,EQP,1,1,296
FB : FB-TG,USA,Net Price,0,1,297
FB : FB-TG,USA,Net Price,1,1,298
FB : FB-TG,USA,Online Price,0,1.25,299
FB : FB-TG,USA,Online Price,1,1.25,300
FB : FB-SNGN,USA,EQP,0,1.2,301
FB : FB-SNGN,USA,EQP,1,1.2,302
FB : FB-SNGN,USA,Net Price,0,1.2,303
FB : FB-SNGN,USA,Net Price,1,1.2,304
FB : FB-SNGN,USA,Online Price,0,1.5,305
FB : FB-SNGN,USA,Online Price,1,1.5,306
FB : FB-CGN,USA,EQP,0,0.8,307
FB : FB-CGN,USA,EQP,1,0.8,308
FB : FB-CGN,USA,Net Price,0,0.8,309
FB : FB-CGN,USA,Net Price,1,0.8,310
FB : FB-CGN,USA,Online Price,0,1,311
FB : FB-CGN,USA,Online Price,1,1,312
FB : FB-CGD,USA,EQP,0,0.8,313
FB : FB-CGD,USA,EQP,1,0.8,314
FB : FB-CGD,USA,Net Price,0,0.8,315
FB : FB-CGD,USA,Net Price,1,0.8,316
FB : FB-CGD,USA,Online Price,0,1,317
FB : FB-CGD,USA,Online Price,1,1,318
FB : FB-DG,USA,EQP,0,0.8,319
FB : FB-DG,USA,EQP,1,0.8,320
FB : FB-DG,USA,Net Price,0,0.8,321
FB : FB-DG,USA,Net Price,1,0.8,322
FB : FB-DG,USA,Online Price,0,1,323
FB : FB-DG,USA,Online Price,1,1,324
FB : FB-MBL,USA,EQP,0,0.8,325
FB : FB-MBL,USA,EQP,1,0.8,326
FB : FB-MBL,USA,Net Price,0,0.8,327
FB : FB-MBL,USA,Net Price,1,0.8,328
FB : FB-MBL,USA,Online Price,0,1,329
FB : FB-MBL,USA,Online Price,1,1,330
FB : FB-MBR,USA,EQP,0,0.8,331
FB : FB-MBR,USA,EQP,1,0.8,332
FB : FB-MBR,USA,Net Price,0,0.8,333
FB : FB-MBR,USA,Net Price,1,0.8,334
FB : FB-MBR,USA,Online Price,0,1,335
FB : FB-MBR,USA,Online Price,1,1,336
FB : FB-MPK,USA,EQP,0,0.8,337
FB : FB-MPK,USA,EQP,1,0.8,338
FB : FB-MPK,USA,Net Price,0,0.8,339
FB : FB-MPK,USA,Net Price,1,0.8,340
FB : FB-MPK,USA,Online Price,0,1,341
FB : FB-MPK,USA,Online Price,1,1,342
FB : FB-MRD,USA,EQP,0,0.8,343
FB : FB-MRD,USA,EQP,1,0.8,344
FB : FB-MRD,USA,Net Price,0,0.8,345
FB : FB-MRD,USA,Net Price,1,0.8,346
FB : FB-MRD,USA,Online Price,0,1,347
FB : FB-MRD,USA,Online Price,1,1,348
FB : FB-MSL,USA,EQP,0,0.8,349
FB : FB-MSL,USA,EQP,1,0.8,350
FB : FB-MSL,USA,Net Price,0,0.8,351
FB : FB-MSL,USA,Net Price,1,0.8,352
FB : FB-MSL,USA,Online Price,0,1,353
FB : FB-MSL,USA,Online Price,1,1,354
FB : FB-MAQ,USA,EQP,0,0.8,355
FB : FB-MAQ,USA,EQP,1,0.8,356
FB : FB-MAQ,USA,Net Price,0,0.8,357
FB : FB-MAQ,USA,Net Price,1,0.8,358
FB : FB-MAQ,USA,Online Price,0,1,359
FB : FB-MAQ,USA,Online Price,1,1,360
FB : FB-MGD,USA,EQP,0,0.8,361
FB : FB-MGD,USA,EQP,1,0.8,362
FB : FB-MGD,USA,Net Price,0,0.8,363
FB : FB-MGD,USA,Net Price,1,0.8,364
FB : FB-MGD,USA,Online Price,0,1,365
FB : FB-MGD,USA,Online Price,1,1,366
FB : FB-MGN,USA,EQP,0,0.8,367
FB : FB-MGN,USA,EQP,1,0.8,368
FB : FB-MGN,USA,Net Price,0,0.8,369
FB : FB-MGN,USA,Net Price,1,0.8,370
FB : FB-MGN,USA,Online Price,0,1,371
FB : FB-MGN,USA,Online Price,1,1,372
FB : FB-MPU,USA,EQP,0,0.8,373
FB : FB-MPU,USA,EQP,1,0.8,374
FB : FB-MPU,USA,Net Price,0,0.8,375
FB : FB-MPU,USA,Net Price,1,0.8,376
FB : FB-MPU,USA,Online Price,0,1,377
FB : FB-MPU,USA,Online Price,1,1,378
FB : FB-PC,USA,EQP,0,0.8,379
FB : FB-PC,USA,EQP,1,0.8,380
FB : FB-PC,USA,Net Price,0,0.8,381
FB : FB-PC,USA,Net Price,1,0.8,382
FB : FB-PC,USA,Online Price,0,1,383
FB : FB-PC,USA,Online Price,1,1,384
FB : FB-CBKBK,USA,EQP,0,0.8,385
FB : FB-CBKBK,USA,EQP,1,0.8,386
FB : FB-CBKBK,USA,Net Price,0,0.8,387
FB : FB-CBKBK,USA,Net Price,1,0.8,388
FB : FB-CBKBK,USA,Online Price,0,1,389
FB : FB-CBKBK,USA,Online Price,1,1,390
FB : FB-CSLBK,USA,EQP,0,0.8,391
FB : FB-CSLBK,USA,EQP,1,0.8,392
FB : FB-CSLBK,USA,Net Price,0,0.8,393
FB : FB-CSLBK,USA,Net Price,1,0.8,394
FB : FB-CSLBK,USA,Online Price,0,1,395
FB : FB-CSLBK,USA,Online Price,1,1,396
FB : FB-MTL,USA,EQP,0,0.8,397
FB : FB-MTL,USA,EQP,1,0.8,398
FB : FB-MTL,USA,Net Price,0,0.8,399
FB : FB-MTL,USA,Net Price,1,0.8,400
FB : FB-MTL,USA,Online Price,0,1,401
FB : FB-MTL,USA,Online Price,1,1,402
FB : FB-MBWT,USA,EQP,0,0.8,403
FB : FB-MBWT,USA,EQP,1,0.8,404
FB : FB-MBWT,USA,Net Price,0,0.8,405
FB : FB-MBWT,USA,Net Price,1,0.8,406
FB : FB-MBWT,USA,Online Price,0,1,407
FB : FB-MBWT,USA,Online Price,1,1,408
FB : FB-HGRB,USA,EQP,0,0.8,409
FB : FB-HGRB,USA,EQP,1,0.8,410
FB : FB-HGRB,USA,Net Price,0,0.8,411
FB : FB-HGRB,USA,Net Price,1,0.8,412
FB : FB-HGRB,USA,Online Price,0,1,413
FB : FB-HGRB,USA,Online Price,1,1,414
