id,name,hex_code,r,g,b
798,637,#6bc9db,,,
799,638,#00b5d6,,,
800,639,#00a0c4,,,
801,640,#008cb2,,,
802,641,#007aa5,,,
803,642,#d1d8d8,,,
804,643,#c6d1d6,,,
805,644,#9bafc4,,,
806,645,#7796b2,,,
807,646,#5e82a3,,,
808,647,#26547c,,,
809,648,#00305e,,,
810,649,#d6d6d8,,,
811,650,#bfc6d1,,,
812,651,#9baabf,,,
813,652,#6d87a8,,,
814,653,#335687,,,
815,654,#0f2b5b,,,
816,655,#0c1c47,,,
817,656,#d6dbe0,,,
818,657,#c1c9dd,,,
819,658,#a5afd6,,,
820,659,#7f8cbf,,,
821,660,#5960a8,,,
822,661,#2d338e,,,
823,662,#0c1975,,,
824,663,#e2d3d6,,,
825,664,#d8ccd1,,,
826,665,#c6b5c4,,,
827,666,#a893ad,,,
828,667,#7f6689,,,
829,668,#664975,,,
830,669,#472b59,,,
831,670,#f2d6d8,,,
832,671,#efc6d3,,,
833,672,#eaaac4,,,
834,673,#e08cb2,,,
835,674,#d36b9e,,,
836,675,#bc3877,,,
837,676,#a00054,,,
838,677,#edd6d6,,,
839,678,#eaccce,,,
840,679,#e5bfc6,,,
841,680,#d39eaf,,,
842,681,#b7728e,,,
843,682,#a05175,,,
844,683,#7f284f,,,
845,684,#efccce,,,
846,685,#eabfc4,,,
847,686,#e0aaba,,,
848,687,#c9899e,,,
849,688,#b26684,,,
850,689,#934266,,,
851,690,#702342,,,
852,691,#efd1c9,,,
853,692,#e8bfba,,,
854,693,#dba8a5,,,
855,694,#c98c8c,,,
856,695,#b26b70,,,
857,696,#8e4749,,,
858,697,#7f383a,,,
859,698,#f7d1cc,,,
860,699,#f7bfbf,,,
861,700,#f2a5aa,,,
862,701,#e8878e,,,
863,702,#d6606d,,,
864,703,#b73844,,,
865,704,#9e2828,,,
866,705,#f9ddd6,,,
867,706,#fcc9c6,,,
868,707,#fcadaf,,,
869,708,#f98e99,,,
870,709,#f26877,,,
871,710,#e04251,,,
872,711,#d12d33,,,
873,712,#ffd3aa,,,
874,713,#f9c9a3,,,
875,714,#f9ba82,,,
876,715,#fc9e49,,,
877,716,#f28411,,,
878,717,#d36d00,,,
879,718,#bf5b00,,,
880,719,#f4d1af,,,
881,720,#efc49e,,,
882,721,#e8b282,,,
883,722,#d18e54,,,
884,723,#ba7530,,,
885,724,#8e4905,,,
886,725,#753802,,,
887,726,#edd3b5,,,
888,727,#e2bf9b,,,
889,728,#d3a87c,,,
890,729,#c18e60,,,
891,730,#aa753f,,,
892,731,#723f0a,,,
893,732,#60330a,,,
1377,7428,#6A2C3E,106,44,62
1404,7434,#9B3259,155,50,89
1294,7439,#B288B9,178,136,185
1457,7464,#a0d1ca,,,
1364,7475 Green,#487A7B,72,122,123
1416,7476,#0D5257,13,82,87
1380,7497,#7A7256,122,114,86
1394,7521,#C09C83,192,156,131
27,7539, #908F92 ,144,143,146
1387,7566,#AD6433,173,100,51
1411,7577,#E07E3C,224,126,60
1393,7582,#674736,103,71,54
1406,7608,#A4493D,164,73,61
1424,7617,#583D3E,88,61,62
1367,7635,#C63663,198,54,99
1401,7662,#7A4183,122,65,131
1383,7670,#565294,86,82,148
1398,7671,#514689,81,70,137
1386,7673,#535486,83,84,134
1413,7679,#563D82,86,61,130
1365,7682c,#6787B7,103,135,183
1368,7719,#006D68,0,109,104
1369,7722,#005151,0,81,81
1456,7728,#006845,,,
1495,8004,#897a69,,,
894,801,#00aacc,,,
895,802,#60dd49,,,
896,803,#ffed38,,,
897,804,#ff9338,,,
898,805,#f95951,,,
899,806,#ff0093,,,
900,807,#d6009e,,,
901,808,#00b59b,,,
902,809,#dde00f,,,
903,810,#ffcc1e,,,
904,811,#ff7247,,,
905,812,#fc2366,,,
906,813,#e50099,,,
907,814,#8c60c1,,,
1408,8920,#A15D42,161,93,66
1392,9224,#F2E9DB,242,233,219
1426,9440,#C1E0EA,193,224,234
1389,Cool Gray 7 C,#97999B,151,153,155
1417,Green C,#00AB84,0,171,132
1212,Yellow C,#FEDD00,254,221,0
1004,Yellow C,#FEDD00,254,221,0
